62,133,11127.000000
17,142,11136.000000
24,229,11135.000000
15,170,11132.000000
14,142,11131.000000
11,102,11111.000000
21,187,11143.000000
22,190,11134.000000
15,134,11127.000000
14,127,11128.000000
18,167,11139.000000
21,172,11131.000000
18,216,11136.000000
14,167,11126.000000
18,208,11143.000000
11,126,11122.000000
13,165,11138.000000
13,155,11130.000000
14,164,11129.000000
11,130,11124.000000
15,178,11136.000000
9,83,11119.000000
14,163,11129.000000
14,155,11126.000000
25,250,11141.000000
12,91,11118.000000
27,188,11134.000000
31,230,11132.000000
22,160,11135.000000
26,193,11130.000000
22,157,11130.000000
26,197,11143.000000
14,106,11121.000000
33,244,11141.000000
26,199,11128.000000
20,146,11128.000000
28,208,11132.000000
36,218,11133.000000
25,166,11132.000000
28,204,11140.000000
16,118,11121.000000
17,139,11132.000000
26,192,11137.000000
14,114,11128.000000
19,141,11130.000000
26,215,11139.000000
15,115,11116.000000
25,175,11138.000000
23,153,11132.000000
19,142,11123.000000
25,187,11135.000000
16,137,11122.000000
16,180,11134.000000
17,202,11137.000000
15,174,11126.000000
14,159,11128.000000
19,220,11136.000000
14,135,11131.000000
18,202,11136.000000
16,188,11132.000000
15,170,11134.000000
15,180,11137.000000
19,230,11136.000000
10,126,11122.000000
7,85,11121.000000
12,131,11119.000000
10,122,11131.000000
16,166,11128.000000
16,190,11134.000000
16,187,11137.000000
15,187,11132.000000
12,146,11127.000000
19,216,11139.000000
13,157,11134.000000
13,154,11128.000000
14,165,11138.000000
12,101,11123.000000
19,169,11136.000000
11,103,11119.000000
24,220,11134.000000
11,126,11121.000000
9,107,11123.000000
17,194,11135.000000
13,152,11133.000000
11,128,11111.000000
15,179,11129.000000
13,149,11135.000000
16,189,11130.000000
14,131,11122.000000
10,123,11117.000000
21,248,11138.000000
12,144,11119.000000
14,170,11131.000000
11,129,11136.000000
9,105,11134.000000
10,121,11122.000000
11,125,11121.000000
10,116,11123.000000
15,177,11130.000000
13,155,11124.000000
