19929,51,11110.000000
23645,52,11094.000000
21488,60,11104.000000
19940,50,11102.000000
18154,42,11096.000000
21291,54,11099.000000
21884,48,11099.000000
16252,38,11099.000000
13324,30,11102.000000
17710,39,11098.000000
22403,45,11089.000000
18910,46,11103.000000
21900,54,11098.000000
17219,42,11102.000000
21864,56,11102.000000
15853,40,11102.000000
30247,83,11110.000000
30425,70,11103.000000
18542,47,11109.000000
20546,47,11098.000000
16131,40,11104.000000
20518,42,11086.000000
13383,32,11096.000000
23779,55,11099.000000
20542,42,11087.000000
19211,40,11102.000000
20389,40,11096.000000
22206,53,11102.000000
20293,46,11089.000000
14942,37,11100.000000
17014,41,11102.000000
20378,49,11095.000000
17715,41,11096.000000
22774,51,11093.000000
23017,52,11109.000000
18883,39,11092.000000
17214,41,11089.000000
16091,42,11102.000000
17057,37,11105.000000
23215,54,11101.000000
16774,37,11097.000000
19653,39,11092.000000
16849,40,11105.000000
21763,53,11098.000000
24485,65,11096.000000
17529,43,11104.000000
24315,63,11110.000000
21055,50,11106.000000
15813,35,11096.000000
15035,35,11094.000000
16279,40,11105.000000
21852,53,11094.000000
18518,43,11108.000000
21917,56,11108.000000
17237,42,11094.000000
18221,44,11101.000000
21434,46,11089.000000
22351,51,11097.000000
18563,39,11095.000000
19421,48,11096.000000
26303,59,11097.000000
22249,58,11105.000000
16305,39,11095.000000
18212,41,11097.000000
21843,50,11106.000000
18257,43,11096.000000
20691,49,11097.000000
18134,40,11101.000000
19695,43,11091.000000
16238,43,11105.000000
18440,45,11102.000000
16940,34,11093.000000
20332,51,11099.000000
24320,61,11098.000000
22747,55,11100.000000
28701,71,11109.000000
25535,63,11093.000000
17333,37,11096.000000
17862,40,11102.000000
16272,39,11092.000000
22078,55,11098.000000
16869,43,11108.000000
23223,58,11101.000000
17967,44,11100.000000
22030,55,11095.000000
21052,50,11097.000000
22124,54,11102.000000
19948,44,11096.000000
22415,49,11098.000000
21264,50,11105.000000
29082,63,11098.000000
20776,51,11106.000000
20997,52,11110.000000
21487,51,11110.000000
14863,34,11098.000000
26052,66,11109.000000
22250,66,11108.000000
17752,44,11095.000000
18666,52,11101.000000
19125,45,11101.000000
